"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"33","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","60","Avoid excessively long variable names like mailServiceWrapper","Naming Rules","LongVariable"
"34","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","60","Local variable 'mailServiceWrapper' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"35","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","62","Avoid variables with short names like to","Naming Rules","ShortVariable"
"36","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","62","Local variable 'to' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"37","br.com.campanhasms.mail","src/br/com/campanhasms/mail/RatingMailMessage.java","3","66","Local variable 'subject' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"38","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","3","12","Avoid excessively long variable names like FORMAT_NORMALIZED_CONTACT","Naming Rules","LongVariable"
"39","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","3","13","Avoid excessively long variable names like LOWER_BOUND_CONTACT","Naming Rules","LongVariable"
"40","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","2","13","Avoid instantiating Long objects.Call Long.valueOf() instead","Migration Rules","LongInstantiation"
"41","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","3","17","Avoid excessively long variable names like UPPER_BOUND_CONTACT","Naming Rules","LongVariable"
"42","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","2","17","Avoid instantiating Long objects.Call Long.valueOf() instead","Migration Rules","LongInstantiation"
"43","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"44","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","3","18","Private field 'contactNumber' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"45","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","3","20","Parameter 'contactNumber' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"46","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","3","26","Singleton is not thread safe","Design Rules","NonThreadSafeSingleton"
"47","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","3","33","Parameter 'contato' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"48","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","3","42","Local variable 'matcher' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"49","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","3","44","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"50","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","2","44","Avoid instantiating Long objects.Call Long.valueOf() instead","Migration Rules","LongInstantiation"
"51","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","3","44","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"52","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","3","46","Avoid using if...else statements without curly braces","Braces Rules","IfElseStmtsMustUseBraces"
"53","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","2","54","Avoid instantiating Long objects.Call Long.valueOf() instead","Migration Rules","LongInstantiation"
"54","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","3","63","Parameter 'obj' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"55","br.com.campanhasms.model","src/br/com/campanhasms/model/Contato.java","3","66","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"56","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","26","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"57","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","28","Avoid excessively long variable names like commPortIdentifier","Naming Rules","LongVariable"
"58","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","28","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"59","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","32","Avoid excessively long variable names like lastSendedMessages","Naming Rules","LongVariable"
"60","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","32","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"61","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","34","Avoid excessively long variable names like listNotificationReceivers","Naming Rules","LongVariable"
"62","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","36","Avoid excessively long variable names like messagesConfirmedCounter","Naming Rules","LongVariable"
"63","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","36","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"64","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","38","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"65","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","40","Avoid excessively long variable names like sendedMessagesCouter","Naming Rules","LongVariable"
"66","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","46","Avoid unnecessary constructors - the compiler will generate these for you","Controversial Rules","UnnecessaryConstructor"
"67","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","46","Document empty constructor","Design Rules","UncommentedEmptyConstructor"
"68","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","50","Parameter 'contato' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"69","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","51","Local variable 'contactWasAdded' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"70","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","58","Parameter 'inboundMessage' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"71","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","62","Parameter 'outboundMessage' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"72","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","63","Local variable 'isAdded' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"73","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","92","Avoid using if statements without curly braces","Braces Rules","IfStmtsMustUseBraces"
"74","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","102","Parameter 'messageType' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"75","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","5","103","Found 'DD'-anomaly for variable 'counter' (lines '103'-'106').","Controversial Rules","DataflowAnomalyAnalysis"
"76","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","5","106","Found 'DD'-anomaly for variable 'counter' (lines '106'-'106').","Controversial Rules","DataflowAnomalyAnalysis"
"77","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","166","Parameter 'contato' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"78","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","167","Local variable 'contactWasRemoved' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"79","br.com.campanhasms.persistence.model","src/br/com/campanhasms/persistence/model/SystemPrevaylerModel.java","3","190","Substitute calls to size() == 0 (or size() != 0) with calls to isEmpty()","Design Rules","UseCollectionIsEmpty"
"80","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/ApplyFormChangesToSystemPrevayler.java","3","14","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"81","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/ApplyFormChangesToSystemPrevayler.java","3","14","Private field 'formDataWrapper' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"82","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/ApplyFormChangesToSystemPrevayler.java","3","16","Parameter 'formDataWrapper' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"83","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/ApplyFormChangesToSystemPrevayler.java","3","22","Parameter 'arg1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"84","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/ApplyFormChangesToSystemPrevayler.java","3","22","Parameter 'businessModel' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"85","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/ApplyFormChangesToSystemPrevayler.java","3","23","Avoid excessively long variable names like systemPrevaylerModel","Naming Rules","LongVariable"
"86","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/ApplyFormChangesToSystemPrevayler.java","3","23","Local variable 'systemPrevaylerModel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"87","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/ApplyFormChangesToSystemPrevayler.java","3","26","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"88","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/ApplyFormChangesToSystemPrevayler.java","3","31","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"89","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/ApplyFormChangesToSystemPrevayler.java","3","37","Avoid empty catch blocks","Basic Rules","EmptyCatchBlock"
"90","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","20","Avoid excessively long variable names like systemPrevaylerModel","Naming Rules","LongVariable"
"91","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","20","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"92","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","24","Parameter 'arg1' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"93","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","24","Parameter 'businessModel' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"94","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","62","Avoid excessively long variable names like hasNoCurrentContact","Naming Rules","LongVariable"
"95","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","62","Local variable 'hasNoCurrentContact' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"96","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","69","Local variable 'hasNoPriorityList' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"97","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","76","Avoid excessively long variable names like firstPriorityContact","Naming Rules","LongVariable"
"98","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","76","Local variable 'firstPriorityContact' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"99","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","83","Avoid excessively long variable names like initialRandomContact","Naming Rules","LongVariable"
"100","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","83","Local variable 'initialRandomContact' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"101","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","92","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"102","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","105","Avoid excessively long variable names like isTheLastPriorityContact","Naming Rules","LongVariable"
"103","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","105","Local variable 'isTheLastPriorityContact' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"104","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","5","122","Found 'DD'-anomaly for variable 'isCurrentContactInThePriorityList' (lines '122'-'126').","Controversial Rules","DataflowAnomalyAnalysis"
"105","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","5","124","Found 'DD'-anomaly for variable 'isCurrentContactInTheBlackList' (lines '124'-'126').","Controversial Rules","DataflowAnomalyAnalysis"
"106","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","3","126","Avoid assignments in operands","Controversial Rules","AssignmentInOperand"
"107","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","5","126","Found 'DU'-anomaly for variable 'isCurrentContactInTheBlackList' (lines '126'-'140').","Controversial Rules","DataflowAnomalyAnalysis"
"108","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","5","126","Found 'DU'-anomaly for variable 'isCurrentContactInThePriorityList' (lines '126'-'140').","Controversial Rules","DataflowAnomalyAnalysis"
"109","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","5","137","Found 'DD'-anomaly for variable 'isCurrentContactInTheBlackList' (lines '137'-'126').","Controversial Rules","DataflowAnomalyAnalysis"
"110","br.com.campanhasms.persistence.transactions","src/br/com/campanhasms/persistence/transactions/GetNextContactNumber.java","5","137","Found 'DD'-anomaly for variable 'isCurrentContactInThePriorityList' (lines '137'-'126').","Controversial Rules","DataflowAnomalyAnalysis"
"111","br.com.campanhasms.properties","src/br/com/campanhasms/properties/ApplicationProperties.java","1","4","A class which only has private constructors should be final","Design Rules","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"112","br.com.campanhasms.properties","src/br/com/campanhasms/properties/ApplicationProperties.java","3","10","Parameter 'key' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"113","br.com.campanhasms.properties","src/br/com/campanhasms/properties/FormProperties.java","1","4","A class which only has private constructors should be final","Design Rules","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"114","br.com.campanhasms.properties","src/br/com/campanhasms/properties/FormProperties.java","3","12","Parameter 'key' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"115","br.com.campanhasms.properties","src/br/com/campanhasms/properties/JobsScheduleProperties.java","4","3","Avoid unused imports such as 'java.io.File'","Type Resolution Rules","UnusedImports"
"116","br.com.campanhasms.properties","src/br/com/campanhasms/properties/JobsScheduleProperties.java","4","3","Avoid unused imports such as 'java.io.File'","Type Resolution Rules","UnusedImports"
"117","br.com.campanhasms.properties","src/br/com/campanhasms/properties/JobsScheduleProperties.java","4","4","Avoid unused imports such as 'java.io.FileInputStream'","Type Resolution Rules","UnusedImports"
"118","br.com.campanhasms.properties","src/br/com/campanhasms/properties/JobsScheduleProperties.java","4","4","Avoid unused imports such as 'java.io.FileInputStream'","Type Resolution Rules","UnusedImports"
"119","br.com.campanhasms.properties","src/br/com/campanhasms/properties/JobsScheduleProperties.java","4","5","Avoid unused imports such as 'java.util.Properties'","Type Resolution Rules","UnusedImports"
"120","br.com.campanhasms.properties","src/br/com/campanhasms/properties/JobsScheduleProperties.java","4","5","Avoid unused imports such as 'java.util.Properties'","Type Resolution Rules","UnusedImports"
"121","br.com.campanhasms.properties","src/br/com/campanhasms/properties/JobsScheduleProperties.java","1","7","A class which only has private constructors should be final","Design Rules","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"122","br.com.campanhasms.properties","src/br/com/campanhasms/properties/JobsScheduleProperties.java","3","15","Parameter 'key' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"123","br.com.campanhasms.properties","src/br/com/campanhasms/properties/MailProperties.java","1","4","A class which only has private constructors should be final","Design Rules","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"124","br.com.campanhasms.properties","src/br/com/campanhasms/properties/MailProperties.java","3","12","Parameter 'key' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"125","br.com.campanhasms.properties","src/br/com/campanhasms/properties/Messages.java","1","4","A class which only has private constructors should be final","Design Rules","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"126","br.com.campanhasms.properties","src/br/com/campanhasms/properties/Messages.java","3","12","Parameter 'key' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"127","br.com.campanhasms.properties","src/br/com/campanhasms/properties/PrevaylerProperties.java","1","4","A class which only has private constructors should be final","Design Rules","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"128","br.com.campanhasms.properties","src/br/com/campanhasms/properties/PrevaylerProperties.java","3","12","Parameter 'key' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"129","br.com.campanhasms.properties","src/br/com/campanhasms/properties/PropertiesReader.java","3","7","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"130","br.com.campanhasms.properties","src/br/com/campanhasms/properties/PropertiesReader.java","5","15","Found 'DD'-anomaly for variable 'property' (lines '15'-'17').","Controversial Rules","DataflowAnomalyAnalysis"
"131","br.com.campanhasms.properties","src/br/com/campanhasms/properties/SMSServiceProperties.java","1","4","A class which only has private constructors should be final","Design Rules","ClassWithOnlyPrivateConstructorsShouldBeFinal"
"132","br.com.campanhasms.properties","src/br/com/campanhasms/properties/SMSServiceProperties.java","3","12","Parameter 'key' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"133","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/MailMessagesReceivedJob.java","3","16","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"134","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/QueryRemainCreditJob.java","3","19","Parameter 'arg0' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"135","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/QueryRemainCreditJob.java","3","23","Avoid excessively long variable names like systemPrevaylerModel","Naming Rules","LongVariable"
"136","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/QueryRemainCreditJob.java","3","23","Local variable 'systemPrevaylerModel' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"137","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/QueryRemainCreditJob.java","3","25","Local variable 'textMessage' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"138","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/QueryRemainCreditJob.java","3","27","Local variable 'contact' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"139","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SMSJobsScheduler.java","3","15","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"140","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SMSJobsScheduler.java","3","18","Avoid excessively long variable names like MAIL_MESSAGES_RECEIVED_JOB_GROUP_KEY","Naming Rules","LongVariable"
"141","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SMSJobsScheduler.java","3","20","Avoid excessively long variable names like MAIL_MESSAGES_RECEIVED_JOB_KEY","Naming Rules","LongVariable"
"142","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SMSJobsScheduler.java","3","22","Avoid excessively long variable names like MAIL_MESSAGES_RECEIVED_TRIGGER_GROUP_KEY","Naming Rules","LongVariable"
"143","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SMSJobsScheduler.java","3","25","Avoid excessively long variable names like MAIL_MESSAGES_RECEIVED_TRIGGER_KEY","Naming Rules","LongVariable"
"144","br.com.campanhasms.scheduler.jobs","src/br/com/campanhasms/scheduler/jobs/SMSJobsScheduler.java","3","27","Avoid excessively long variable names like QUERY_REMAIN_CREDIT_JOB_GROUP_KEY","Naming Rules","LongVariable"
